year,event_code,bib,name,class,finished,dnf_type,finish_time,dnf_at_cp,last_cp,last_time,nationality,tracking_url,gps_last_lat,gps_last_lon,gps_last_time,gps_point_count,total_time,total_dwell,splits_count
2021,21hk4tuc,16,Jacky Leung Chun Keung 梁俊強,Class of 2021,True,N/A,49:26:15,,Finish,2021-02-14 08:38:15,hong_kong,https://live.dottrack.asia/21hk4tuc/?b=16,22.264915,114.001743,2021-02-14 08:15:15,33,49:26:15,,8
2021,21hk4tuc,9,Salomon Wettstein,Class of 2021,True,N/A,51:53:45,,Finish,2021-02-14 10:22:22,switzerland,https://live.dottrack.asia/21hk4tuc/?b=9,22.264973,114.001764,2021-02-14 10:11:45,57,51:53:45,,8
2021,21hk4tuc,13,Lau Chun Man 劉俊文,Class of 2021,True,N/A,58:55:11,,Finish,2021-02-14 17:48:45,hong_kong,https://live.dottrack.asia/21hk4tuc/?b=13,22.264931,114.00172,2021-02-14 17:41:11,37,58:55:11,,8
2021,21hk4tuc,17,Hyun Chang Chung,Class of 2021,True,N/A,59:23:56,,Finish,2021-02-14 18:23:01,south_korea,https://live.dottrack.asia/21hk4tuc/?b=17,22.265008,114.001839,2021-02-14 17:58:56,53,59:23:56,,8
2021,21hk4tuc,12,Nikki Han,Class of 2021,True,N/A,59:42:18,,Finish,2021-02-14 18:22:25,scotland,https://live.dottrack.asia/21hk4tuc/?b=12,22.26506,114.001813,2021-02-14 18:13:18,58,59:42:18,,8
2021,21hk4tuc,1,Law Chor Kin 羅楚健,Class of 2021,True,N/A,59:50:34,,Finish,2021-02-14 18:17:54,hong_kong,https://live.dottrack.asia/21hk4tuc/?b=1,22.265014,114.001845,2021-02-14 17:58:34,46,59:50:34,,8
2021,21hk4tuc,15,Law Kai Pong 羅啟邦,Class of 2021,True,N/A,62:00:17,,Finish,2021-02-14 21:43:58,hong_kong,https://live.dottrack.asia/21hk4tuc/?b=15,22.264958,114.001692,2021-02-14 20:38:17,38,62:00:17,,8
2021,21hk4tuc,8,Fanny Wu Yi Hua 吳益華,Class of 2021,True,N/A,65:23:16,,Finish,2021-02-14 23:49:16,hong_kong,https://live.dottrack.asia/21hk4tuc/?b=8,22.265001,114.001731,2021-02-14 23:49:16,49,65:23:16,,8
2021,21hk4tuc,10,Will Hayward,Class of 2021,True,N/A,66:59:44,,Finish,2021-02-15 01:29:46,new_zealand,https://live.dottrack.asia/21hk4tuc/?b=10,22.264952,114.001844,2021-02-15 01:22:44,48,66:59:44,,8
2021,21hk4tuc,14,Chris Kwan Yee Ting 關綺婷,Class of 2021,True,N/A,67:46:58,,Finish,2021-02-15 02:04:37,hong_kong,https://live.dottrack.asia/21hk4tuc/?b=14,22.26492,114.001613,2021-02-15 01:59:58,47,67:46:58,,8
2021,21hk4tuc,18,Virginie Goethals,Class of 2021,True,N/A,69:56:37,,Finish,2021-02-15 04:16:45,belgium,https://live.dottrack.asia/21hk4tuc/?b=18,22.264955,114.001831,2021-02-15 04:12:37,47,69:56:37,,8
2021,21hk4tuc,2,Vic So,Retired,False,Retired,,Start HK Trail,Start HK Trail,2021-02-13 19:30:04,hong_kong,https://live.dottrack.asia/21hk4tuc/?b=2,22.226816,114.239864,2021-02-13 19:30:04,25,33:46:32,,8
2021,21hk4tuc,3,Tom Robertshaw,Retired,False,Retired,,Start HK Trail,Start HK Trail,2021-02-13 21:53:44,united_kingdom,https://live.dottrack.asia/21hk4tuc/?b=3,22.258459,114.205491,2021-02-13 21:53:44,24,34:34:46,,8
2021,21hk4tuc,4,Mark Green,Retired,False,Retired,,Start HK Trail,Start HK Trail,2021-02-13 22:05:13,canada,https://live.dottrack.asia/21hk4tuc/?b=4,22.277033,114.192901,2021-02-13 22:05:13,27,34:44:54,,8
2021,21hk4tuc,7,Leo Chung Kwong On 鍾廣安,Retired,False,Retired,,Start HK Trail,Start HK Trail,2021-02-14 17:28:14,hong_kong,https://live.dottrack.asia/21hk4tuc/?b=7,22.264647,114.001999,2021-02-14 17:28:14,32,35:16:02,,8
2021,21hk4tuc,6,Stone Tsang Siu Keung 曾小強,Retired,False,Retired,,End Wilson Trail,End Wilson Trail,2021-02-14 14:35:23,hong_kong,https://live.dottrack.asia/21hk4tuc/?b=6,22.264894,114.001851,2021-02-14 14:35:23,30,28:01:25,,8
2021,21hk4tuc,11,Sarah Pemberton,Retired,False,Retired,,Start Wilson Trail,Start Wilson Trail,2021-02-13 14:22:05,hong_kong,https://live.dottrack.asia/21hk4tuc/?b=11,22.275154,114.185252,2021-02-13 14:22:05,26,16:10:23,,8
2021,21hk4tuc,5,Joe Chau Kwan Hung 周群雄,Retired,False,Retired,,Start Wilson Trail,Start Wilson Trail,2021-02-13 07:11:45,hong_kong,https://live.dottrack.asia/21hk4tuc/?b=5,22.37384,114.136418,2021-02-13 07:11:45,23,19:18:13,,8
2022,22hk4tuc,14,Wong Ho Chung 黃浩聰,Class of 2022,True,N/A,46:55:15,,Finish,2022-02-04 07:58:35,hong_kong,https://live.dottrack.asia/22hk4tuc/?b=14,22.265142,114.001682,2022-02-04 07:34:15,88,46:55:15,,8
2022,22hk4tuc,10,Thomas Lam Shing Yip 林成業,Class of 2022,True,N/A,55:32:20,,Finish,2022-02-04 16:19:35,hong_kong,https://live.dottrack.asia/22hk4tuc/?b=10,22.265002,114.001839,2022-02-04 15:59:20,75,55:32:20,,8
2022,22hk4tuc,13,Joseph Yeung Chi Shing 楊志成,Class of 2022,True,N/A,56:26:21,,Finish,2022-02-04 17:10:32,hong_kong,https://live.dottrack.asia/22hk4tuc/?b=13,22.265072,114.001748,2022-02-04 17:02:21,83,56:26:21,,8
2022,22hk4tuc,12,Richard Kimber,Class of 2022,True,N/A,57:27:00,,Finish,2022-02-04 18:02:04,united_kingdom,https://live.dottrack.asia/22hk4tuc/?b=12,22.265036,114.001844,2022-02-04 18:00:00,70,57:27:00,,8
2022,22hk4tuc,7,Cheung Man Yee 張敏怡,Class of 2022,True,N/A,57:53:43,,Finish,2022-02-04 18:34:58,hong_kong,https://live.dottrack.asia/22hk4tuc/?b=7,22.265098,114.001674,2022-02-04 18:11:43,88,57:53:43,,8
2022,22hk4tuc,11,Elliot Froidevaux,Class of 2022,True,N/A,63:44:08,,Finish,2022-02-05 00:17:14,switzerland,https://live.dottrack.asia/22hk4tuc/?b=11,22.265144,114.001805,2022-02-05 00:14:08,94,63:44:08,,8
2022,22hk4tuc,5,Angie Cheng Wai Yee 鄭慧儀,Class of 2022,True,N/A,65:23:05,,Finish,2022-02-05 01:38:54,hong_kong,https://live.dottrack.asia/22hk4tuc/?b=5,22.264988,114.001871,2022-02-05 01:35:05,109,65:23:05,,8
2022,22hk4tuc,3,Tanya Bennett,Retired,False,Retired,,Start HK Trail,Start HK Trail,2022-02-04 13:08:41,united_kingdom,https://live.dottrack.asia/22hk4tuc/?b=3,22.269736,114.184684,2022-02-04 13:08:41,62,44:55:00,,8
2022,22hk4tuc,1,Kimmy Leung Hong Kiu 梁康翹,Retired,False,Retired,,End Wilson Trail,End Wilson Trail,2022-02-03 22:41:30,hong_kong,https://live.dottrack.asia/22hk4tuc/?b=1,22.378158,114.205644,2022-02-03 22:41:30,41,36:02:46,,8
2022,22hk4tuc,2,Virginie Goethals,Retired,False,Retired,,End Wilson Trail,End Wilson Trail,2022-02-05 10:21:48,belgium,https://live.dottrack.asia/22hk4tuc/?b=2,22.229002,114.254765,2022-02-03 23:39:48,47,38:45:35,,8
2022,22hk4tuc,15,Mayank Vaid,Retired,False,Retired,,Start Wilson Trail,Start Wilson Trail,2022-02-03 15:21:03,india,https://live.dottrack.asia/22hk4tuc/?b=15,22.334347,114.237701,2022-02-03 15:21:03,38,16:48:46,,8
2022,22hk4tuc,9,Tony Tong Hei Chun 唐煕晉,Retired,False,Retired,,Start Wilson Trail,Start Wilson Trail,2022-02-04 23:43:28,hong_kong,https://live.dottrack.asia/22hk4tuc/?b=9,22.378206,114.205559,2022-02-04 23:43:28,25,16:56:58,,8
2022,22hk4tuc,8,Samantha Chan Man Ha 陳文霞,Retired,False,Retired,,Start Wilson Trail,Start Wilson Trail,2022-02-04 01:31:54,hong_kong,https://live.dottrack.asia/22hk4tuc/?b=8,22.451143,113.998494,2022-02-04 01:31:54,46,17:03:52,,8
2022,22hk4tuc,4,Jcy Ho Chung Yee 何頌沂,Retired,False,Retired,,Start Wilson Trail,Start Wilson Trail,2022-02-04 18:59:44,hong_kong,https://live.dottrack.asia/22hk4tuc/?b=4,22.264148,114.001995,2022-02-04 18:59:44,58,18:50:35,,8
2022,22hk4tuc,16,Rowell Campos,Retired,False,Retired,,Start Wilson Trail,Start Wilson Trail,2022-02-04 23:58:14,philippines,https://live.dottrack.asia/22hk4tuc/?b=16,22.265283,114.002325,2022-02-04 23:58:14,36,19:08:14,,8
2022,22hk4tuc,6,Chamelia Suhra,Retired,False,Retired,,End Maclehose Trail,End Maclehose Trail,2022-02-03 11:34:18,indonesia,https://live.dottrack.asia/22hk4tuc/?b=6,22.268694,114.125121,2022-02-03 11:34:18,22,18:59:10,,8
2023,23hk4tuc,24,Tomokazu Ihara 井原知一,Class of 2023,True,N/A,54:02:36,,Finish,2023-01-24 01:14:38,japan,https://live.dottrack.asia/23hk4tuc/?b=24,22.265237,114.001666,2023-01-24 00:17:36,168,54:02:36,,8
2023,23hk4tuc,7,Nugo Yamanath Limbu,Class of 2023,True,N/A,56:29:23,,Finish,2023-01-24 03:41:39,nepal,https://live.dottrack.asia/23hk4tuc/?b=7,22.265052,114.001807,2023-01-24 02:44:23,173,56:29:23,,8
2023,23hk4tuc,23,Ryan Whelan,Class of 2023,True,N/A,56:54:19,,Finish,2023-01-24 03:45:29,united_kingdom,https://live.dottrack.asia/23hk4tuc/?b=23,22.264832,114.001782,2023-01-24 03:09:19,163,56:54:19,,8
2023,23hk4tuc,12,Wong Ka Kit 黃家傑,Class of 2023,True,N/A,57:11:37,,Finish,2023-01-24 03:26:37,hong_kong,https://live.dottrack.asia/23hk4tuc/?b=12,22.264977,114.001834,2023-01-24 03:26:37,156,57:11:37,,8
2023,23hk4tuc,16,Kevin Cheung Kei Fung 張祺豐,Class of 2023,True,N/A,59:30:45,,Finish,2023-01-24 05:57:45,hong_kong,https://live.dottrack.asia/23hk4tuc/?b=16,22.265007,114.001875,2023-01-24 05:45:45,136,59:30:45,,8
2023,23hk4tuc,13,Elvis Fu Chin Ping 傅展平,Class of 2023,True,N/A,63:23:20,,Finish,2023-01-24 11:06:47,hong_kong,https://live.dottrack.asia/23hk4tuc/?b=13,22.26496,114.001669,2023-01-24 09:38:20,164,63:23:20,,8
2023,23hk4tuc,18,Alger Cheng Sai Kit 鄭世傑,Class of 2023,True,N/A,66:15:33,,Finish,2023-01-24 12:30:33,hong_kong,https://live.dottrack.asia/23hk4tuc/?b=18,22.265056,114.001776,2023-01-24 12:30:33,155,66:15:33,,8
2023,23hk4tuc,22,Trevor Meding,Class of 2023,True,N/A,67:26:45,,Finish,2023-01-24 20:41:16,canada,https://live.dottrack.asia/23hk4tuc/?b=22,22.265102,114.001683,2023-01-24 13:41:45,169,67:26:45,,8
2023,23hk4tuc,9,Kenneth Chan Wai Tik,Class of 2023,True,N/A,67:46:49,,Finish,2023-01-24 14:06:25,hong_kong,https://live.dottrack.asia/23hk4tuc/?b=9,22.265037,114.001766,2023-01-24 14:01:49,156,67:46:49,,8
2023,23hk4tuc,6,Mayank Vaid,Class of 2023,True,N/A,68:04:39,,Finish,2023-01-24 14:24:10,india,https://live.dottrack.asia/23hk4tuc/?b=6,22.265086,114.001803,2023-01-24 14:19:39,157,68:04:39,,8
2023,23hk4tuc,5,Kimmy Leung Hong Kiu 梁康翹,Class of 2023,True,N/A,68:18:29,,Finish,2023-01-24 15:01:38,hong_kong,https://live.dottrack.asia/23hk4tuc/?b=5,22.26487,114.001645,2023-01-24 14:33:29,145,68:18:29,,8
2023,23hk4tuc,19,Chan Kwok Keung 陳國強,Class of 2023,True,N/A,69:43:10,,Finish,2023-01-24 20:40:28,hong_kong,https://live.dottrack.asia/23hk4tuc/?b=19,22.264974,114.001869,2023-01-24 15:58:10,132,69:43:10,,8
2023,23hk4tuc,15,Chiang Chung Wei 蔣仲威,Class of 2023,True,N/A,69:56:19,,Finish,2023-01-24 20:40:14,hong_kong,https://live.dottrack.asia/23hk4tuc/?b=15,22.264972,114.001838,2023-01-24 16:11:19,158,69:56:19,,8
2023,23hk4tuc,8,Kurt Lynn,Class of 2023,True,N/A,70:23:18,,Finish,2023-01-24 17:24:19,new_zealand,https://live.dottrack.asia/23hk4tuc/?b=8,22.265275,114.001672,2023-01-24 16:38:18,167,70:23:18,,8
2023,23hk4tuc,4,Karen Tse Tze Wai 謝芷蕙,Class of 2023,True,N/A,70:39:39,,Finish,2023-01-24 16:57:43,hong_kong,https://live.dottrack.asia/23hk4tuc/?b=4,22.264985,114.001875,2023-01-24 16:54:39,172,70:39:39,,8
2023,23hk4tuc,1,Chamelia Suhra,Retired,False,Retired,,Start HK Trail,Start HK Trail,2023-01-23 22:52:55,indonesia,https://live.dottrack.asia/23hk4tuc/?b=1,22.242778,114.218125,2023-01-23 22:52:55,161,45:28:38,,8
2023,23hk4tuc,3,Sandy Xiaoqing Sun 孙晓青,Retired,False,Retired,,Start Wilson Trail,Start Wilson Trail,2023-01-22 22:50:51,china,https://live.dottrack.asia/23hk4tuc/?b=3,22.30151,114.2438,2023-01-22 22:50:51,78,16:36:24,,8
2023,23hk4tuc,21,Elliot Froidevaux,Retired,False,Retired,,Start Wilson Trail,Start Wilson Trail,2023-01-22 18:01:26,switzerland,https://live.dottrack.asia/23hk4tuc/?b=21,22.274646,114.185819,2023-01-22 18:01:26,106,17:24:29,,8
2023,23hk4tuc,10,Yu Long Chai Harrods 余朗齊,Retired,False,Retired,,Start Wilson Trail,Start Wilson Trail,2023-01-23 02:15:16,hong_kong,https://live.dottrack.asia/23hk4tuc/?b=10,22.355692,114.213055,2023-01-23 02:15:16,172,17:33:51,,8
2023,23hk4tuc,25,Phairat Varasin ไพรัช วราสินธุ์,Retired,False,Retired,,Start Wilson Trail,Start Wilson Trail,2023-01-22 17:37:49,thailand,https://live.dottrack.asia/23hk4tuc/?b=25,22.47283,114.232356,2023-01-22 17:37:49,69,17:35:17,,8
2023,23hk4tuc,11,Yeung Wing Kent 楊永健,Retired,False,Retired,,Start Wilson Trail,Start Wilson Trail,2023-01-22 22:49:02,hong_kong,https://live.dottrack.asia/23hk4tuc/?b=11,22.378071,114.144432,2023-01-22 22:49:02,71,18:54:10,,8
2023,23hk4tuc,14,Michael H Gay,Retired,False,Retired,,Start Wilson Trail,Start Wilson Trail,2023-01-23 00:28:57,united_states_of_america,https://live.dottrack.asia/23hk4tuc/?b=14,22.436352,114.164003,2023-01-23 00:28:57,68,19:00:31,,8
2023,23hk4tuc,20,Saranyabhong Singhakrittaya ศรัณยพงศ์ สิงห์กฤตยา,Retired,False,Retired,,End Maclehose Trail,End Maclehose Trail,2023-01-22 15:27:23,thailand,https://live.dottrack.asia/23hk4tuc/?b=20,22.426387,114.161161,2023-01-22 15:27:23,55,17:45:00,,8
2023,23hk4tuc,2,Milk Li Lai Ting 李麗婷,Retired,False,Retired,,Start,Start,2023-01-22 14:47:53,hong_kong,https://live.dottrack.asia/23hk4tuc/?b=2,22.396461,114.318727,2023-01-22 14:47:53,59,,,8
2023,23hk4tuc,17,Steven Ong,Retired,False,Retired,,Start,Start,2023-01-22 13:23:37,malaysia,https://live.dottrack.asia/23hk4tuc/?b=17,22.395838,114.328109,2023-01-22 13:23:37,52,,,8
